Unnamed: 0,"Заработная плата, средняя по предприятию для профессии",Заработная плата вкакансии,"Текучесть, %","Отставание, %"
"('Красноуфимск', 'ЭЧ Красноуфимск', 'Электромеханики (всех наименований)')",57234,67500.0,5.0,-15.20888888888889
"('Красноуфимск, пгт. Чёрная речка', 'ПЧ Красноуфимск', 'Монтёры пути')",47460,57500.0,11.2,-17.46086956521739
"('Кстово', 'ШЧ Горький', 'Электромеханики СЦБ (включая старших)')",87799,109000.0,7.4,-19.45045871559633
"('Кстово', 'ШЧ Горький', 'Электромонтёры СЦБ')",58357,59866.5,24.9,-2.521443545221451
"('Кстовский р-н, Ройка', 'Нижегородский ДЦС', 'Дежурные по станциям')",74107,95500.0,0.0,-22.40104712041885
"('Кукмор', 'Казанский ДЦС', 'Дежурные по станциям')",65768,83333.33333333333,36.6,-21.07839999999999
"('Лаишевский р-н, Столбище', 'Казанский ДЦС', 'Дежурные по станциям')",52410,69167.6,37.3,-24.22752849600102
"('Лукоянов', 'ШЧ Арзамас', 'Электромеханики СЦБ (включая старших)')",63095,82599.9375,0.0,-23.61374365446705
"('Малопургинский р-н', 'ПЧ Агрыз', 'Монтёры пути')",49102,60750.0,23.3,-19.17366255144033
"('Меленковский р-н', 'ПЧ Муром', 'Монтёры пути')",53461,76150.0,24.0,-29.7951411687459
"('Можгинский р-н', 'ПЧ Агрыз', 'Монтёры пути')",48618,70500.0,27.0,-31.03829787234043
"('Мураши', 'Кировский ДЦС', 'Дежурные по станциям')",75287,113032.5,13.4,-33.39349302191847
"('Мурашинский р-н', 'ИЧ Мураши', 'Монтёры пути')",47324,58613.0,24.3,-19.26023237165817
"('Муром', 'ВЧДэ Горький-Сортировочный', 'Осмотрщики-ремонтники вагонов (включая старших)')",55505,69850.0,13.4,-20.53686471009306
"('Муром', 'ПЧМ Арзамас', 'Машинисты ЖДСМ и ССПС')",61022,77950.0,14.8,-21.71648492623477
"('Муром', 'ТЧэ Муром', 'Машинисты локомотивов')",91274,112611.1111111111,7.0,-18.94760730143069
"('Муром', 'ШЧ Муром', 'Электромонтёры СЦБ')",38195,46250.0,0.0,-17.41621621621622
"('Муром', 'ЭЧ Муром', 'Электромеханики (всех наименований)')",61107,77250.0,18.4,-20.89708737864078
"('Нижний Новгород', 'ВЧДэ Горький-Сортировочный', 'Осмотрщики-ремонтники вагонов (включая старших)')",59942,71000.0,24.7,-15.57464788732394
